,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
OCTAGONAL PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,9.95,1.75,0.87,nan,nan,2018
OILEX LD,Oil &amp; Gas Producers,Exploration &amp; Production,5.71,0.31,0.15,nan,nan,2018
OMEGA DIAGNOSTICS GROUP PLC,Health Care Equipment &amp; Services,Medical Supplies,16.82,13.25,1.65,4.48,nan,2018
ON THE BEACH GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,553.43,435,18.44,nan,nan,2018
ONLINE BLOCKCHAIN PLC,Software &amp; Computer Services,Software,2.08,21.5,24.12,nan,nan,2018
ONCIMMUNE HOLDINGS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,65.32,105,8.79,nan,nan,2018
ONE MEDIA IP GROUP PLC,Media,Broadcasting &amp; Entertainment,7.73,5.7,0.5,nan,nan,2017
ONESAVINGS BANK PLC,Financial Services,Consumer Finance,943.72,388.6,234.94,nan,3.11,2017
ONTHEMARKET PLC,Media,Media Agencies,85,137.5,nan,nan,nan,nan
OPG POWER VENTURES PLC,Electricity,Conventional Electricity,88.25,22.75,38.79,66.01,nan,2018
OPHIR ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,391.12,55.3,158.23,nan,nan,2017
OPTIBIOTIX HEALTH PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,76.68,88,6.45,nan,nan,2017
ORACLE POWER PLC,Mining,Coal,5.71,0.47,0.03,nan,nan,2017
ORCHARD FUNDING GROUP PLC,Financial Services,Specialty Finance,18.04,84.5,61.3,105.23,nan,2018
ORIGO PARTNERS PLC,Financial Services,Specialty Finance,0.63,0.17,3.02,9.18,nan,2017
ORIOLE RESOURCES PLC,Mining,General Mining,2.6,0.37,2.23,nan,nan,2016
ORMONDE MINING PLC,Mining,Gold Mining,18.9,4.2,3.07,nan,nan,2017
OROSUR MINING INC,Mining,Gold Mining,7.36,4.8,0.32,112.22,nan,2018
OVOCA BIO PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,5.81,6.75,23.85,nan,nan,2017
OXFORD BIODYNAMICS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,145.78,157.5,nan,nan,-27.72,2017
OXFORD BIOMEDICA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,415.32,629.8,0.19,nan,nan,2017
OXFORD INSTRUMENTS PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,576.05,1004,36.43,10.97,1.79,2018
OXFORD METRICS PLC,Software &amp; Computer Services,Software,102.49,82,14.1,nan,nan,2018
P2P GLOBAL INVESTMENTS PLC,Equity Investment Instruments,Equity Investment Instruments,615.87,812,1006.49,nan,0.51,2017
PACIFIC ASSETS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,351.23,293,nan,nan,nan,2018
PACIFIC HORIZON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,188.98,324,351.26,nan,0,2018
PADDY POWER BETFAIR PLC,Travel &amp; Leisure,Gambling,4776.38,6085,76.82,nan,1.52,2017
PAGEGROUP PLC,Support Services,Business Training &amp; Employment Agencies,1472.28,458.4,72.18,nan,5.42,2017
PALACE CAPITAL PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,139.49,304,400.17,44.95,5.83,2018
PAN AFRICAN RESOURCES PLC,Mining,Gold Mining,234.64,10.3,10.87,-2.45,6.4,2017
PANTHEON INTERNATIONAL PLC,Equity Investment Instruments,Equity Investment Instruments,1179.15,2130,2414.82,nan,nan,2018
PANTHEON RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,109.77,24.25,20.38,nan,nan,2018
PANTHER SECURITIES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,68.08,385,513.96,84,3.78,2017
PARAGON ENTERTAINMENT LIMITED,Travel &amp; Leisure,Recreational Services,1.69,0.86,1.33,28.41,nan,2017
PARAGON BANKING GROUP PLC,Financial Services,Consumer Finance,1104.26,430.2,355.3,nan,nan,2018
PARITY GROUP PLC,Software &amp; Computer Services,Computer Services,9.13,9.6,2.32,22.7,nan,2017
PARK GROUP PLC,Financial Services,Consumer Finance,136.03,72,nan,nan,nan,nan
PARKMEAD GROUP (THE) PLC,Oil &amp; Gas Producers,Exploration &amp; Production,54.41,55,62.72,nan,nan,2018
PATAGONIA GOLD PLC,Mining,Gold Mining,10.52,44.5,0.97,78.93,nan,2017
PATHFINDER MINERALS PLC,Mining,General Mining,3.82,1.4,nan,nan,nan,2017
nan,nan,nan,nan,nan,nan,nan,nan,nan
PAYPOINT PLC,Support Services,Financial Administration,588.19,862,52.12,nan,5.75,2018
PCF GROUP PLC,Financial Services,Specialty Finance,72.58,33,17.04,nan,0.67,2017
PCG ENTERTAINMENT PLC,Travel &amp; Leisure,Gambling,0.68,0.06,0.12,nan,nan,2018
PCI-PAL PLC,Software &amp; Computer Services,Computer Services,9.79,23,13.02,nan,0,2018
PEARSON PLC,Media,Publishing,6674.8,848.8,130.79,14.13,2.32,2017
PEBBLE BEACH SYSTEMS GROUP PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,7.16,5.75,nan,-169.02,nan,2017
PEEL HOTELS PLC,Travel &amp; Leisure,Hotels,8.76,67,164.68,36.63,0,2018
PELATRO PLC,Software &amp; Computer Services,Software,26.68,82,nan,nan,nan,nan
PENDRAGON PLC,General Retailers,Specialty Retailers,366.7,26.25,3.98,nan,5.54,2017
PENNANT INTERNATIONAL GROUP PLC,Software &amp; Computer Services,Software,45.05,125,32.05,-29.46,nan,2016
PENNON GROUP PLC,"Gas, Water &amp; Multiutilities",Water,3292.09,778.8,281.12,171.07,6,2018
PERPETUAL INCOME AND GROWTH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,776.89,323.5,nan,nan,4.27,2018
PERSHING SQUARE HOLDINGS LTD,Equity Investment Instruments,Equity Investment Instruments,2777.02,1274,1284.84,nan,nan,2017
PERSIMMON PLC,Household Goods &amp; Home Construction,Home Construction,7469.5,2448,971,nan,8.58,2017
PERSONAL ASSETS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,947.13,39900,38821.2,nan,1.43,2018
PERSONAL GROUP HOLDINGS PLC,Nonlife Insurance,Insurance Brokers,107.18,347,72.06,nan,4.76,2017
PETARDS GROUP PLC,Support Services,Business Support Services,15.52,27,8.5,-17.79,nan,2017
PETRA DIAMONDS LIMITED,Mining,Diamonds &amp; Gemstones,213.05,24,49.08,113.31,nan,2018
PETREL RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1.46,1.4,-0.16,nan,nan,2017
PETRO MATAD LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,32.78,4.8,4.83,nan,nan,2017
PETROFAC LIMITED,Oil Equipment &amp; Services,Oil Equipment &amp; Services,1405.1,410.5,171.1,67.11,5.66,2017
PETRONEFT RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,8.84,1.25,4.91,nan,nan,2017
PETROPAVLOVSK PLC,Mining,Gold Mining,263.25,7.94,13.21,102.5,nan,2017
PETS AT HOME GROUP PLC,General Retailers,Specialty Retailers,726,146.1,-17.32,nan,4.44,2018
PHOENIX GLOBAL MINING LIMITED,Industrial Metals &amp; Mining,Nonferrous Metals,7.35,19,1.2,nan,nan,2017
PHOENIX GROUP HOLDINGS PLC,Life Insurance,Life Insurance,5017.38,696.5,406.38,nan,6.45,2017
PHOENIX SPREE DEUTSCHLAND LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,350.61,348,187.61,71.33,6.45,2016
PJSC PHOSAGRO,Chemicals,Specialty Chemicals,4058.49,13.52,64594.67,122.29,9.21,2017
PHOTO-ME INTERNATIONAL PLC,Leisure Goods,Recreational Products,346.4,92,30.69,-17.44,5.28,2018
PHOTONSTAR LED GROUP PLC,Household Goods &amp; Home Construction,Durable Household Products,0.35,0.01,-0.08,106.48,nan,2017
PHSC PLC,Support Services,Business Support Services,1.43,9.75,10.96,nan,8.7,2018
PHYSIOMICS PLC,Health Care Equipment &amp; Services,Medical Equipment,2.44,3.45,0.96,nan,nan,2018
PICTON PROPERTY INCOME LD,Real Estate Investment Trusts,Diversified REITs,483.35,88.6,90.42,37.13,4.03,2018
PIPEHAWK PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,1.68,4.92,nan,-122.85,nan,2017
PIRES INVESTMENTS PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,0.83,2.95,1.85,nan,nan,2017
PITTARDS PLC,Personal Goods,Clothing &amp; Accessories,9.24,66.5,140.8,40.43,nan,2017
PJSC MAGNIT,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5830.08,14.63,3299.59,41.7,nan,2017
PUBLIC JOINT STOCK COMPANY POLYUS,Mining,Gold Mining,8402.19,40.75,326.91,545.57,34.4,2017
PUBLIC JOINT STOCK COMPANY SEVERSTAL,Industrial Metals &amp; Mining,Iron &amp; Steel,10084.81,15.63,286.8,nan,0,2017
PLANT HEALTH CARE PLC,Chemicals,Specialty Chemicals,16.81,9.72,4.31,-11.41,nan,2017
PLAYTECH PLC,Travel &amp; Leisure,Gambling,1315.71,417.7,80.18,-7.98,3.74,2017
PLEXUS HOLDINGS PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,45.7,45.5,27.21,-31.58,nan,2018
PLUS500 LTD,Financial Services,Investment Services,873.62,823.5,151.61,nan,14.16,2017
PLUTUS POWERGEN PLC,Financial Services,Specialty Finance,3.42,0.41,-0.01,-3.59,nan,2018
POLAR CAPITAL HOLDINGS PLC,Financial Services,Asset Managers,469.27,512,96.5,nan,5.45,2018
POLAR CAPITAL GLOBAL FINANCIALS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,261.58,127.5,144.64,0.94,2.82,2017
POLAR CAPITAL GLOBAL HEALTHCARE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,267.6,214,203.77,-0.33,1.72,2017
POLAR CAPITAL TECHNOLOGY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1686.2,1234,1159.69,nan,nan,2018
POLAREAN IMAGING PLC,Health Care Equipment &amp; Services,Medical Equipment,17.88,17.75,nan,nan,nan,nan
POLEMOS PLC,Financial Services,Investment Services,0.83,0.7,nan,nan,nan,2017
POLO RESOURCES LIMITED,Financial Services,Specialty Finance,14.44,4.63,15.61,nan,nan,2018
POLYMETAL INTERNATIONAL PLC,Mining,Gold Mining,4146.4,876.6,229.16,108.65,2.63,2017
POLYPIPE GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,807.11,408.2,-27.31,nan,2.81,2017
PORT ERIN BIOPHARMA INVESTMENTS LIMITED,Pharmaceuticals &amp; Biotechnology,Biotechnology,1.02,4.15,8.21,nan,nan,2018
PORTA COMMUNICATIONS PLC,Media,Media Agencies,4.81,0.95,-1.47,206.43,nan,2017
PORTMEIRION GROUP PLC,Household Goods &amp; Home Construction,Durable Household Products,123.95,1140,283.9,-3.46,3.75,2017
PORVAIR PLC,Industrial Engineering,Industrial Machinery,227.5,498.5,38.65,nan,0.9,2017
POWERHOUSE ENERGY GROUP PLC,Alternative Energy,Alternative Fuels,8.63,0.47,nan,-81.32,nan,2017
PREMIER FOODS PLC,Food Producers,Food Products,311.14,38.1,-14.88,nan,nan,2018
PREMIER AFRICAN MINERALS LIMITED,Mining,General Mining,8.86,0.12,0.18,0.42,nan,2017
PREMIER ASSET MANAGEMENT GROUP PLC,Financial Services,Asset Managers,215.83,204,13.72,nan,nan,2018
PREMIER GLOBAL INFRASTRUCTURE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,22.34,122.5,165.07,nan,6.79,2017
PREMIER OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,597.28,74.4,-100.03,nan,nan,2017
PREMIER TECHNICAL SERVICES GROUP PLC,Support Services,Business Support Services,157.06,127.5,5.95,68.44,0.79,2017
PRESIDENT ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,86.9,8.05,3,11.74,nan,2017
PRESSURE TECHNOLOGIES PLC,Industrial Engineering,Industrial Machinery,15.99,86,40.76,20.17,nan,2018
PRIMARY HEALTH PROPERTIES PLC,Real Estate Investment Trusts,Specialty REITs,941.61,120.6,94.74,123.82,nan,2017
PRIME PEOPLE PLC,Support Services,Business Training &amp; Employment Agencies,9.68,81,37.35,nan,6.37,2018
PRIMORUS INVESTMENTS PLC,Media,Media Agencies,2.94,0.1,0.18,nan,nan,2017
PRINCESS PRIVATE EQUITY HOLDING LIMITED,Equity Investment Instruments,Equity Investment Instruments,569.81,824,825.43,nan,nan,2016
PROACTIS HOLDINGS PLC,Software &amp; Computer Services,Software,110.45,112.5,-61.99,35.58,nan,2018
PROPERTY FRANCHISE GROUP PLC (THE),Real Estate Investment &amp; Services,Real Estate Services,31.63,122.5,7.37,11.11,nan,2016
PROSPEX OIL AND GAS PLC,Mining,Gold Mining,3.16,0.25,1.59,nan,nan,2016
PROTEOME SCIENCES PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,7.65,2.59,nan,-320.72,nan,2017
PROVEXIS PLC,Food Producers,Food Products,4.56,0.23,0.04,nan,nan,2018
PROVIDENCE RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,87.41,14.28,12.15,nan,nan,2017
PROVIDENT FINANCIAL PLC,Financial Services,Consumer Finance,1545.04,630.4,259.45,353.43,9.5,2017
PRUDENTIAL PLC,Life Insurance,Life Insurance,41049.28,1564.5,138.92,nan,2.39,2017
PURECIRCLE LIMITED,Food Producers,Food Products,453.72,260,71.22,43.35,nan,2018
PURETECH HEALTH PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,488.01,170,57.22,-30.42,nan,2017
PURPLEBRICKS GROUP PLC,Real Estate Investment &amp; Services,Real Estate Services,429.62,141,25.89,nan,nan,2018
PZ CUSSONS PLC,Personal Goods,Personal Products,836.44,195,13.09,35.85,3.48,2018
QINETIQ GROUP PLC,Aerospace &amp; Defense,Defense,1743.64,306.6,106.04,nan,3.05,2018
QUADRISE FUELS INTERNATIONAL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,29.71,3.65,0.37,nan,nan,2018
QUARTIX HOLDINGS PLC,Software &amp; Computer Services,Software,117.22,245,11.4,nan,nan,2017
QUILTER PLC,Financial Services,Asset Managers,2445.53,127.98,186.92,nan,589.67,2017
QUIXANT PLC,Technology Hardware &amp; Equipment,Computer Hardware,207.03,312,38.2,nan,0.48,2017
QUIZ PLC,General Retailers,Apparel Retailers,39.51,31.8,14.82,-21.83,nan,2018
nan,nan,nan,nan,nan,nan,nan,nan,nan
R.E.A. HOLDINGS PLC,Food Producers,Farming &amp; Fishing,86.69,210,173.01,71.25,nan,2017
RA INTERNATIONAL GROUP PLC,General Industrials,Diversified Industrials,76.37,41,nan,nan,nan,nan
RAMBLER METALS &amp; MINING PLC,Mining,General Mining,12.36,1.88,8.49,31.17,nan,2017
RAMSDENS HOLDINGS PLC,Financial Services,Consumer Finance,53.19,172.5,88.01,-46.19,3.69,2018
RANDALL &amp; QUILTER INVESTMENT HOLDINGS LTD,Nonlife Insurance,Reinsurance,213.34,163.5,116.03,nan,nan,2017
RANGE RESOURCES LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,2.66,0.03,0.2,nan,nan,2017
RANGER DIRECT LENDING FUND PLC,Equity Investment Instruments,Equity Investment Instruments,84,521,1251.49,nan,nan,2017
RANK GROUP PLC,Travel &amp; Leisure,Gambling,634.47,163,-16.02,2.35,3.89,2018
RATHBONE BROTHERS PLC,Financial Services,Asset Managers,1220.32,2214,397.47,nan,2.35,2017
RAVEN PROPERTY GROUP LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,255.59,42.9,60.12,109.58,nan,2017
nan,nan,nan,nan,nan,nan,nan,nan,nan
ROYAL DUTCH SHELL PLC,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,105929.9,2355.5,1565.4,33.63,5.7,2017
ROYAL DUTCH SHELL PLC,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,90247.5,2376,1565.4,33.63,5.64,2017
REABOLD RESOURCES PLC,Financial Services,Specialty Finance,28.67,0.72,0.37,nan,nan,2017
REACH PLC,Media,Publishing,180.46,60,nan,nan,nan,nan
REACH4ENTERTAINMENT ENTERPRISES PLC,Media,Media Agencies,13.83,1.38,0.06,-46.14,nan,2017
REACT GROUP PLC,Financial Services,Specialty Finance,0.79,0.19,0.44,nan,nan,2017
REAL ESTATE INVESTORS PLC,Real Estate Investment Trusts,Diversified REITs,95.07,51,68.15,63.16,5.3,2017
REAL ESTATE CREDIT INVESTMENTS LIMITED,Financial Services,Specialty Finance,261.8,170.75,163.95,31.12,7.55,2018
REAL GOOD FOOD PLC,Food Producers,Food Products,5.96,6,-20.61,62.8,nan,2018
RECKITT BENCKISER GROUP PLC,Household Goods &amp; Home Construction,Nondurable Household Products,41318.19,5811,-2266.82,79.33,2.41,2017
RECORD PLC,Financial Services,Asset Managers,62.2,31.25,13.22,nan,5,2018
RED EMPEROR RESOURCES NL,Oil &amp; Gas Producers,Exploration &amp; Production,17.22,3.98,1.84,nan,nan,2018
RED ROCK RESOURCES PLC,Mining,General Mining,3.64,0.6,2.1,-11.19,nan,2018
REDCENTRIC PLC,Software &amp; Computer Services,Computer Services,103.57,69.45,-3.06,35.56,nan,2018
REDDE PLC,Financial Services,Specialty Finance,564.16,183.2,18.97,5.28,6.62,2018
REDHALL GROUP PLC,Support Services,Business Support Services,7.32,2.2,2.73,-0.45,nan,2017
REDROW PLC,Household Goods &amp; Home Construction,Home Construction,2170.73,606.5,400.49,-4.25,5.25,2018
REDT ENERGY PLC,Support Services,Business Support Services,34.81,4.4,1.09,nan,nan,2017
REDX PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,9.49,7.25,4.22,nan,nan,2018
REGAL PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,128.26,40.8,13.06,nan,nan,2017
REGENCY MINES PLC,Mining,General Mining,1.75,0.17,0.92,14.44,nan,2017
REGIONAL REIT LIMITED,Real Estate Investment Trusts,Diversified REITs,386.99,103.4,106.69,73.74,4.96,2017
RELX PLC,Media,Publishing,34484.73,1719.5,299.4,nan,2.16,2017
REMOTE MONITORED SYSTEMS PLC,Support Services,Business Support Services,4.73,1.23,nan,-51.56,nan,2017
RENEURON GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,17.09,56,115.28,nan,nan,2018
RENEW HOLDINGS PLC,Support Services,Business Support Services,292.28,388,-52.09,3.76,2.2,2017
THE RENEWABLES INFRASTRUCTURE GROUP LIMITED,Equity Investment Instruments,Equity Investment Instruments,1385.77,117.6,103.74,nan,5.89,2017
RENEWI PLC,Support Services,Waste &amp; Disposal Services,210.04,26.05,-28.65,138.32,4.07,2018
RENISHAW PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,3129.91,4392,679.59,nan,1.13,2018
RENOLD PLC,Industrial Engineering,Industrial Machinery,66.5,29.5,nan,-2700,nan,2018
RENTOKIL INITIAL PLC,Support Services,Business Support Services,6239.68,333.7,-15.59,99.05,1.24,2017
RESIDENTIAL SECURE INCOME PLC,Real Estate Investment Trusts,Residential REITs,157.34,93,nan,36.75,nan,2018
RESTAURANT GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,628.13,128,87.57,12.05,5.87,2017
RESTORE PLC,Support Services,Business Support Services,348.27,282.5,-14.49,47.53,1.23,2016
REVOLUTION BARS GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,41.02,81.5,80,nan,0.82,2018
RHI MAGNESITA N.V.,Industrial Engineering,Industrial Machinery,2189.85,4440,nan,nan,nan,2017
RHYTHMONE PLC,Software &amp; Computer Services,Internet,116.38,146.6,69.52,2.54,nan,2018
RICARDO PLC,Support Services,Business Support Services,317.23,594,147.74,14.82,2.13,2018
RICHLAND RESOURCES LTD,Mining,General Mining,0.63,0.1,0.15,nan,nan,2017
RIGHTMOVE PLC,Media,Media Agencies,4282.93,479.95,1.52,nan,0.12,2017
RIO TINTO PLC,Mining,General Mining,56095.92,4381,2310.71,nan,4.11,2017
RIT CAPITAL PARTNERS PLC,Equity Investment Instruments,Equity Investment Instruments,3184.7,2025,1732.91,nan,1.64,2016
RIVER AND MERCANTILE GROUP PLC,Financial Services,Asset Managers,181.43,221,37.72,nan,6.94,2018
RIVER AND MERCANTILE UK MICRO CAP INVESTMENT COMPANY LIMITED,Equity Investment Instruments,Equity Investment Instruments,78.72,169,183.42,nan,nan,2018
RIVERFORT GLOBAL OPPORTUNITIES PLC,Financial Services,Specialty Finance,6.48,0.1,0.24,nan,nan,2017
RIVERSTONE ENERGY LIMITED,Equity Investment Instruments,Equity Investment Instruments,843.71,1048,1577.83,nan,nan,2017
RM PLC,Software &amp; Computer Services,Software,202.14,241,-8.44,nan,4.76,2016
RM SECURED DIRECT LENDING PLC,Equity Investment Instruments,Equity Investment Instruments,100.21,101.5,nan,nan,nan,2017
RM2 INTERNATIONAL S.A.,General Industrials,Containers &amp; Packaging,12.54,52,9.93,-3.85,nan,2017
ROBERT WALTERS PLC,Support Services,Business Training &amp; Employment Agencies,406.61,540,145.95,-25.52,2.04,2017
ROBINSON PLC,General Industrials,Containers &amp; Packaging,11.05,67.5,101.44,27.67,5.47,2017
ROCKFIRE RESOURCES PLC,Mining,General Mining,3.78,0.82,0.29,nan,nan,2017
ROCKHOPPER EXPLORATION PLC,Oil &amp; Gas Producers,Exploration &amp; Production,102.52,22.25,-3.74,nan,nan,2017
ROLLS-ROYCE HOLDINGS PLC,Aerospace &amp; Defense,Aerospace,18532.91,965.8,-48.68,8.68,2.6,2017
ROSE PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,2.87,2,0.05,nan,nan,2017
ROSENBLATT GROUP PLC,Support Services,Business Support Services,71.68,89.5,nan,nan,nan,nan
ROSNEFT OIL COMPANY,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,48503.5,6.02,26896.73,101.96,3.65,2017
ROSS GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,4.05,2,nan,-96.73,nan,2017
ROSSLYN DATA TECHNOLOGIES PLC,Software &amp; Computer Services,Software,13.87,7.2,-1.16,42.3,nan,2018
ROTALA PLC,Travel &amp; Leisure,Travel &amp; Tourism,25.45,53,36.63,83.97,4.5,2017
ROTORK PLC,Industrial Engineering,Industrial Machinery,2555.05,290.6,16.97,2.76,2.03,2017
ROYAL BANK OF SCOTLAND GROUP PLC,Banks,Banks,31230.16,258.6,349.26,nan,nan,2017
ROYAL MAIL PLC,Industrial Transportation,Delivery Services,2777,278.5,350.58,0.14,3.9,2018
RPC GROUP PLC,General Industrials,Containers &amp; Packaging,3231.47,797.6,4.34,60.28,3.62,2018
RPS GROUP PLC,Support Services,Business Support Services,405.8,180.2,-11.54,21.81,nan,2017
RSA INSURANCE GROUP PLC,Nonlife Insurance,Full Line Insurance,5535.27,535,299.36,nan,3.14,2017
RTC GROUP PLC,Support Services,Business Training &amp; Employment Agencies,9.37,64,24.48,108.64,5.77,2017
RUFFER INVESTMENT COMPANY LTD,Equity Investment Instruments,Equity Investment Instruments,385.08,209,nan,nan,nan,2018
RURELEC PLC,Electricity,Conventional Electricity,4.49,0.8,4.49,5.1,nan,2017
RWS HOLDINGS PLC,Support Services,Business Support Services,1287.02,466,3.92,12.74,1.31,2017
S &amp; U PLC,Financial Services,Consumer Finance,250.44,2085,1272.84,68.7,4.65,2018
SABIEN TECHNOLOGY GROUP PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,0.47,0.07,-0.04,nan,nan,2018
SABRE INSURANCE GROUP PLC,Nonlife Insurance,Property &amp; Casualty Insurance,700,285,-331.34,nan,nan,2017
SAFECHARGE INTERNATIONAL GROUP LIMITED,Support Services,Financial Administration,415.7,273,60.76,nan,4.32,2017
SAFELAND PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,6.28,42.5,144.62,43.55,1.74,2018
SAFESTAY PLC,Travel &amp; Leisure,Hotels,24.58,38,52.89,183.61,nan,2017
SAFESTORE HOLDINGS PLC,Real Estate Investment Trusts,Specialty REITs,1241.17,594,375.5,52.69,3.04,2018
SAFESTYLE UK PLC,General Retailers,Home Improvement Retailers,57.54,69.7,22.61,nan,6.43,2017
SAGA PLC,General Retailers,Specialized Consumer Services,1371.09,122.8,-28.8,-6.03,7.79,2018
SAGE GROUP PLC,Software &amp; Computer Services,Software,7220.17,663,-100.75,63.18,2.21,2017
SAINSBURY (J) PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5180.6,234.2,288.91,6.88,4.2,2018
SALT LAKE POTASH LIMITED,Alternative Energy,Alternative Fuels,49.89,27.5,3.07,-80.61,nan,2018
SAN LEON ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,178.31,34.6,38.58,-1.77,nan,2017
SANDERSON GROUP PLC,Software &amp; Computer Services,Computer Services,61.47,99.5,-14.82,-4.74,3.57,2018
SANDITON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,43.25,86.5,100.48,nan,nan,2018
SANNE GROUP PLC,Support Services,Business Support Services,757.21,520,36.73,nan,nan,2017
SAREUM HOLDINGS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,16.11,0.56,0.06,nan,nan,2018
SAVANNAH PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,212.02,24.5,33.08,-2.15,nan,2017
SAVANNAH RESOURCES PLC,Mining,General Mining,49.36,5.6,0.22,nan,nan,2016
SAVILLS PLC,Real Estate Investment &amp; Services,Real Estate Services,1265.81,891,38.4,-22.4,3.06,2017
SBERBANK OF RUSSIA,Banks,Banks,52247.14,12.6,13846.88,nan,0.62,2017
SCANCELL HOLDINGS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,28.31,7.3,1.18,nan,nan,2018
SCAPA GROUP PLC,Chemicals,Specialty Chemicals,474.71,300,26.5,3.7,0.49,2018
SCHOLIUM GROUP PLC,General Retailers,Specialty Retailers,5.78,42.5,72.96,nan,nan,2018
SCHRODER ASIAPACIFIC FUND PLC,Equity Investment Instruments,Equity Investment Instruments,741.9,437,nan,nan,2.21,2018
SCHRODER ASIAN TOTAL RETURN INVESTMENT COMPANY PLC,Equity Investment Instruments,Equity Investment Instruments,332.12,354,268.07,nan,nan,2016
SCHRODER EUROPEAN REAL ESTATE INVESTMENT TRUST PLC,Real Estate Investment Trusts,Diversified REITs,141.42,105.5,112.99,nan,5.56,2018
SCHRODER INCOME GROWTH FUND PLC,Equity Investment Instruments,Equity Investment Instruments,190.61,277,315.54,nan,3.92,2018
SCHRODER JAPAN GROWTH FUND PLC,Equity Investment Instruments,Equity Investment Instruments,241.89,188.5,233.8,nan,1.89,2018
SCHRODER ORIENTAL INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,653.27,250,258.63,1.97,3.52,2017
SCHRODER REAL ESTATE INVESTMENT TRUST LIMITED,Real Estate Investment Trusts,Diversified REITs,303.33,58.8,68.19,nan,4.22,2018
SCHRODER UK MID CAP FUND PLC,Equity Investment Instruments,Equity Investment Instruments,183.92,518,nan,nan,nan,2017
SCHRODERS PLC,Financial Services,Asset Managers,6222.4,2760,895.4,nan,2.9,2016
SCIENCE GROUP PLC,Support Services,Business Support Services,84.08,210,42.43,-18.16,2.14,2017
SCIENCE IN SPORT PLC,Food Producers,Food Products,63.03,51.5,32.1,nan,nan,2017
